School,Email_domain,"Region, based on US Census Bureau (LINK)",State,Med Student Population Size (LINK),University Student Population Size ,Endowment (billions),Medical school endowment? T/F
Yale University School of Medicine,yale.edu,Northeast,Connecticut,545,13609,30.31,F
University of Maryland School of Medicine,som.umaryland.edu,South,Maryland,656,40743,0.3553,F
Cooper Medical School of Rowan University,cooperhealth.edu,Northeast,New Jersey,439,19618,0.2321,F
Creighton University School of Medicine,creighton.edu,Midwest,Nebraska,680,8821,0.587,F
West Virginia University School of Medicine,hsc.wvu.edu,South,West Virginia,446,29933,589.8,F
University of Alabama School of Medicine,ua.edu,South,Alabama,799,38100,0.8328,F
University of Toledo College of Medicine,utoledo.edu,Midwest,Ohio,730,20381,0.4541,F
California Northstate University College of Medicine,cnsu.edu,West,California,396,,,
California University of Science and Medicine,cusm.org,West,California,292,,,
Charles R. Drew University of Medicine and Science,cdrewu.edu,West,California,,45742,5.39,F
Chicago Medical School at Rosalind Franklin University of Medicine and Science,rosalindfranklin​.edu,Midwest,Illinois,796,,0.0812,T
Emory University School of Medicine,emory.edu,South,Georgia,636,14417,7.87,F
Florida Atlantic University Charles E. Schmidt College of Medicine,health.fau.edu,South,Florida,265,30061,0.227,F
Florida International University Herbert Wertheim College of Medicine,fiu.edu,South,Florida,495,58827,0.2163,F
Florida State University College of Medicine,med.fsu.edu,South,Florida,497,42450,0.7041,F
Georgetown University School of Medicine,georgetown.edu,South,District of Columbia,862,,1,T
Howard University College of Medicine,howard.edu,South,District of Columbia,515,9399,0.6928,F
Indiana University School of Medicine,iu.edu,Midwest,Indiana,1519,43260,2.49,F
Indiana University School of Medicine: Evansvillle,iu.edu,Midwest,Indiana,1519,43260,2.49,F
Keck School of Medicine of the University of Southern California,usc.edu,West,California,815,48321,5.732,F
Mayo Clinic Alix School of Medicine,mayo.edu,West,Arizona,,462,4.5,F
Medical College of Georgia at Augusta University,augusta.edu,South,Georgia,966,,0.243,T
Mercer University School of Medicine,mercer.edu,South,Georgia,498,,0.38,T
Morehouse School of Medicine,msm.edu,South,Georgia,422,,0.0561,T
Johns Hopkins University School of Medicine,jhmi.edu,South,Maryland,590,27092,6.28,F
"University of Nevada, Las Vegas School of Medicine",unlv.edu,West,Nevada,240,31175,0.2923,F
"University of Nevada, Reno School of Medicine",med.unr.edu,West,Nevada,289,21003,0.3774,F
Washington University School of Medicine in St. Louis,wustl.edu,Midwest,Missouri,738,16191,8.13,F
Wayne State University School of Medicine,"mchadwel@med.wayne.edu, 313-577-1463",Midwest,Michigan,1253,26844,0.3945,F
University of Texas Southwestern Medical Center at Dallas Southwestern Medical School,utsouthwestern.edu,South,Texas,911,,1.82,T
University of Massachusetts Medical School,@umassmed.edu,Northeast,Massachusetts,729,,0.2075,T
Dartmouth College Geisel School of Medicine,dartmouth.edu,Northeast,New Hampshire,415,6608,6,F
Loyola University Chicago Stritch School of Medicine,luc.edu,Midwest,Illinois,714,17159,0.6922,F
University of Chicago Pritzker School of Medicine,medicine.bsd.uchicago.edu,Midwest,Illinois,421,14739,8.5,F
University of Illinois College of Medicine,uic.edu,Midwest,Illinois,1347,33390,2.28,F
"Jacobs School of Medicine Biomedical Sciences, University at Buffalo",buffalo.edu,Northeast,New York,760,29850,0.795,F
Ohio State University College of Medicine,osu.edu,Midwest,Ohio,890,66444,5.26,F
Ohio State University College of Medicine,osumc.edu,Midwest,Ohio,890,66444,5.26,F
University of Cincinnati College of Medicine,mail.uc.edu,Midwest,Ohio,770,43691,1.453,F
University of Cincinnati College of Medicine,uc.edu,Midwest,Ohio,770,43691,1.453,F
Albany Medical College,amc.edu,Northeast,New York,576,,0.0988,T
Boonshoft School of Medicine at Wright State University,wright.edu,Midwest,Ohio,496,12000,0.0916,F
Cleveland Clinic Lerner Colllege of Medicine,ccf.org,Midwest,Ohio,160,,,
Columbia University Roy and Diana Vagelos College of Physicians and Surgeons,cumc.columbia.edu,Northeast,New York,673,31455,11.26,F
CUNY School of Medicine,med.cuny.edu,Northeast,New York,317,,0.29,T
Donald and Barbara School of Medicine at Hofstra,northwell.edu,Northeast,New York,425,,,
Duke University School of Medicine,duke.edu,South,North Carolina,574,15192,8.5,F
New York University Long Island School of Medicine,nyuangone.org,Northeast,New York,48,,,
New York University School of Medicine,nyulangone.org,Northeast,New York,493,51123,4.35,F
Northeast Ohio Medical University Colleges of Medicine,neomed.edu,Midwest,Ohio,630,,0.0083,T
Oregon Health & Science University School of Medicine,ohsu.edu,West,Oregon,679,,0.8778,T
Tufts University School of Medicine,tufts.edu,Northeast,Massachusetts,856,11878,1.87,F
Hackensack Meridian School of Medicine at Seton Hall University,hmhn.edu,Northeast,New Jersey,272,10219,0.2645,F
Harvard Medical School,hms.harvard.edu,Northeast,Massachusetts,838,21015,41.9,F
Louisiana State University School of Medicine in New Orleans,lsuhsc.edu,South,Louisiana,833,31756,0.5218,F
Louisiana State University School of Medicine in Shreveport,lsuhsc.edu,South,Louisiana,570,31756,0.5218,F
Mayo Clinic College of Medicine,mayo.edu,Midwest,Minnesota,462,,,
Michigan State University College of Human Medicine,msu.edu,Midwest,Michigan,800,49809,3.03,F
Oakland University William Beaumont School of Medicine,oakland.edu,Midwest,Michigan,500,19013,0.0994,F
Rutgers New Jersey Medical School,njms.rutgers.edu,Northeast,New Jersey,767,50173,1.476,F
Saint Louis University School of Medicine,health.slu.edu,Midwest,Missouri,738,11684,1.28,F
Tulane University School of Medicine,tulane.edu,South,Louisiana,792,11913,1.43,F
Uniformed Services University of the Health Sciences F. Edward Herbert School of Medicine,us.af.mil,South,Maryland,693,,,
University of Kansas School of Medicine,kumc.edu,Midwest,Kansas,875,27552,1.82,F
Frank H. Netter M.D. School of Medicine at Quinnipiac University ,quinnipiac.edu,Northeast,Connecticut,545,10207,0.556,F
Wake Forest University School of Medicine,wakehealth.edu,South,North Carolina,599,7591,1.37,F
